,vol,issue,index,type,title
279,75,3,15,Research article,Spike-Timing-Dependent Potentiation of Sensory Surround in the Somatosensory Cortex Is Facilitated by Deprivation-Mediated Disinhibition
280,75,3,16,Research article,Enhancement of Dorsal Hippocampal Activity by Knockdown of HCN1 Channels Leads to Anxiolytic- and Antidepressant-like Behaviors
281,75,3,17,Research article,Neuronal Correlates of Metacognition in Primate Frontal Cortex
282,75,3,18,Research article,Normalization Regulates Competition for Visual Awareness
283,75,3,19,Erratum,Neuronal Damage in Autoimmune Neuroinflammation Mediated by the Death Ligand TRAIL
284,75,3,20,Erratum,Maternal Loss of Ube3a Produces an Excitatory/Inhibitory Imbalance through Neuron Type-Specific Synaptic Defects
285,75,4,0,Mini review,"Brain, Know Thy Transcriptome, Know Thyself"
286,75,4,1,Mini review,Fear of the Light or Need for Action: The IGL Will Judge
287,75,4,2,Mini review,Slow Gamma Takes the Reins in Replay
288,75,4,3,Mini review,Thalamic Coordination of Cortical Communication
289,75,4,4,Review article,Hans Thoenen: A Tribute
290,75,4,5,Review article,The Spike-Timing Dependence of Plasticity
291,75,4,6,Short communication,Rates and Rhythms: A Synergistic View of Frequency and Temporal Coding in Neuronal Networks
292,75,4,7,Short communication,Neuromodulatory State and Sex Specify Alternative Behaviors through Antagonistic Synaptic Pathways in C. elegans
293,75,4,8,Research article,Sensation in a Single Neuron Pair Represses Male Behavior in Hermaphrodites
294,75,4,9,Research article,Human-Specific Transcriptional Networks in the Brain
295,75,4,10,Research article,Tau Promotes Neurodegeneration via DRP1 Mislocalization In Vivo
296,75,4,11,Research article,c-Jun Reprograms Schwann Cells of Injured Nerves to Generate a Repair Cell Essential for Regeneration
297,75,4,12,Research article,Subcortical Visual Shell Nuclei Targeted by ipRGCs Develop from a Sox14+-GABAergic Progenitor and Require Sox14 to Regulate Daily Activity Rhythms
298,75,4,13,Research article,The LIM-Homeodomain Protein Islet Dictates Motor Neuron Electrical Properties by Regulating K+ Channel Expression
299,75,4,14,Research article,Regulation of N-type Voltage-Gated Calcium Channels and Presynaptic Function by Cyclin-Dependent Kinase 5
300,75,4,15,Research article,Visual Input Modulates Audiomotor Function via Hypothalamic Dopaminergic Neurons through a Cooperative Mechanism
301,75,4,16,Research article,Transient Slow Gamma Synchrony Underlies Hippocampal Memory Replay
302,75,4,17,Research article,Early Cognitive Experience Prevents Adult Deficits in a Neurodevelopmental Schizophrenia Model
303,75,5,0,Mini review,Deterministic or Stochastic Choices in Retinal Neuron Specification
304,75,5,1,Mini review,The Clathrin Adaptor Complex Responsible for Somatodendritic Protein Sorting
305,75,5,2,Mini review,Dendritic Spikes Veto Inhibition
306,75,5,3,Review article,Neural Mechanisms of Stress Resilience and Vulnerability
307,75,5,4,Review article,Synaptic Energy Use and Supply
308,75,5,5,Research article,Single Action Potentials and Subthreshold Electrical Events Imaged in Neurons with a Fluorescent Protein Voltage Probe
309,75,5,6,Research article,How Variable Clones Build an Invariant Retina
310,75,5,7,Research article,Atoh1 Governs the Migration of Postmitotic Neurons that Shape Respiratory Effectiveness at Birth and Chemoresponsiveness in Adulthood
311,75,5,8,Research article,"Signal-Mediated, AP-1/Clathrin-Dependent Sorting of Transmembrane Receptors to the Somatodendritic Domain of Hippocampal Neurons"
312,75,5,9,Research article,JNK3 Perpetuates Metabolic Stress Induced by Aβ Peptides
313,75,5,10,Research article,The SOL-2/Neto Auxiliary Protein Modulates the Function of AMPA-Subtype Ionotropic Glutamate Receptors
314,75,5,11,Research article,Inhibitory Control of Linear and Supralinear Dendritic Excitation in CA1 Pyramidal Neurons
315,75,5,12,Research article,"Separate, Causal Roles of the Caudate in Saccadic Choice and Execution in a Perceptual Decision Task"
316,75,5,13,Research article,Attentional Stimulus Selection through Selective Synchronization between Monkey Visual Areas
317,75,5,14,Research article,Rhythmic Modulation of Theta Oscillations Supports Encoding of Spatial and Behavioral Information in the Rat Hippocampus
318,75,5,15,Research article,Autism-Associated Promoter Variant in MET Impacts Functional and Structural Brain Networks
319,75,5,16,Research article,Temporal Integration of Olfactory Perceptual Evidence in Human Orbitofrontal Cortex
320,75,5,17,Erratum,Functional Significance of Isoform Diversification in the Protocadherin Gamma Gene Cluster
321,75,5,18,Erratum,Distinct Roles of Muscle and Motoneuron LRP4 in Neuromuscular Junction Formation
322,75,5,19,Erratum,Cell-Type-Based Analysis of MicroRNA Profiles in the Mouse Brain
323,75,6,0,Mini review,"Sleep to Upscale, Sleep to Downscale: Balancing Homeostasis and Plasticity"
324,75,6,1,Mini review,Neurodegeneration: New Road Leads Back to the Synapse
325,75,6,2,Mini review,Pten-less Dentate Granule Cells Make Fits
326,75,6,3,Mini review,Asleep at the Switch: MEK Kinases Control Transit to Gliogenesis in Developing Cortex
327,75,6,4,Mini review,Choosing for Me or Choosing for You: Value in Medial Prefrontal Cortex
328,75,6,5,Mini review,Attending to the Present When Remembering the Past
329,75,6,6,Mini review,Implementing the 3Rs in Neuroscience Research: A Reasoned Approach
330,75,6,7,Review article,Plasticity of Inhibition
331,75,6,8,Review article,Neuronal Dynamics and Neuropsychiatric Disorders: Toward a Translational Paradigm for Dysfunctional Large-Scale Networks
332,75,6,9,Short communication,Unreliable Evoked Responses in Autism
333,75,6,10,Research article,Nanoscopy of Living Brain Slices with Low Light Levels
334,75,6,11,Short communication,REM Sleep Reorganizes Hippocampal Excitability
335,75,6,12,Research article,LRRK2 Controls an EndoA Phosphorylation Cycle in Synaptic Endocytosis
336,75,6,13,Research article,Excessive Activation of mTOR in Postnatally Generated Granule Cells Is Sufficient to Cause Epilepsy
337,75,6,14,Research article,MEK Is a Key Regulator of Gliogenesis in the Developing Brain
338,75,6,15,Research article,gdnf Activates Midline Repulsion by Semaphorin3B via NCAM during Commissural Axon Guidance
339,75,6,16,Research article,Neuronal Elav-like (Hu) Proteins Regulate RNA Splicing and Abundance to Control Glutamate Levels and Neuronal Excitability
340,75,6,17,Research article,Transient Sodium Current at Subthreshold Voltages: Activation by EPSP Waveforms
341,75,6,18,Research article,Metabolic Communication between Astrocytes and Neurons via Bicarbonate-Responsive Soluble Adenylyl Cyclase
342,75,6,19,Research article,Sleep Oscillations in the Thalamocortical System Induce Long-Term Neuronal Plasticity
343,75,6,20,Research article,An Agent Independent Axis for Executed and Modeled Choice in Medial Prefrontal Cortex
344,75,6,21,Research article,Interactions between Visual Attention and Episodic Retrieval: Dissociable Contributions of Parietal Regions during Gist-Based False Recognition
345,76,1,0,Mini review,Neuromodulation of Neuronal Circuits: Back to the Future
346,76,1,1,Review article,Orphan GPCRs and Neuromodulation
347,76,1,2,Review article,Modulating Neuromodulation by Receptor Membrane Traffic in the Endocytic Pathway
348,76,1,3,Review article,Dopaminergic Modulation of Synaptic Transmission in Cortex and Striatum
349,76,1,4,Review article,Neuromodulation by Extracellular ATP and P2X Receptors in the CNS
350,76,1,5,Review article,Endocannabinoid Signaling and Synaptic Function
351,76,1,6,Review article,Peptide Neuromodulation in Invertebrate Model Systems
352,76,1,7,Review article,Neuropeptide Transmission in Brain Circuits
353,76,1,8,Review article,Acetylcholine as a Neuromodulator: Cholinergic Signaling Shapes Nervous System Function and Behavior
354,76,1,9,Review article,Orienting and Reorienting: The Locus Coeruleus Mediates Cognition through Arousal
355,76,1,10,Review article,Neuromodulation by Oxytocin and Vasopressin
356,76,1,11,Review article,The Fibroblast Growth Factor Family: Neuromodulation of Affective Behavior
357,76,1,12,Review article,Serotonin in the Modulation of Neural Plasticity and Networks: Implications for Neurodevelopmental Disorders
358,76,1,13,Review article,Stress-Related Neuropeptides and Addictive Behaviors: Beyond the Usual Suspects
359,76,1,14,Review article,Neuromodulation of Brain States
360,76,1,15,Review article,Neuromodulation of Thought: Flexibilities and Vulnerabilities in Prefrontal Cortical Network Synapses
361,76,1,16,Review article,Twenty-Five Lessons from Computational Neuromodulation
362,76,2,0,Mini review,What the Fish’s Eye Tells the Fish’s Brain
363,76,2,1,Mini review,A Prion-Mediated Mechanism for Memory Proposed in Drosophila
364,76,2,2,Mini review,Cell Assemblies of the Superficial Cortex
365,76,2,3,Review article,The Neuronal Organization of the Retina
366,76,2,4,Review article,"Attention, Learning, and the Value of Information"
367,76,2,5,Research article,Imaging Neural Activity Using Thy1-GCaMP Transgenic Mice
368,76,2,6,Short communication,A Subtype-Specific Function for the Extracellular Domain of Neuroligin 1 in Hippocampal LTP
369,76,2,7,Short communication,Parametric Functional Maps of Visual Inputs to the Tectum
370,76,2,8,Research article,"Genetic Removal of p70 S6 Kinase 1 Corrects Molecular, Synaptic, and Behavioral Phenotypes in Fragile X Syndrome Mice"
371,76,2,9,Research article,Slit/Robo Signaling Modulates the Proliferation of Central Nervous System Progenitors
372,76,2,10,Research article,Reelin Controls Neuronal Positioning by Promoting Cell-Matrix Adhesion via Inside-Out Activation of Integrin α5β1
373,76,2,11,Research article,Calcium Feedback to cGMP Synthesis Strongly Attenuates Single-Photon Responses Driven by Long Rhodopsin Lifetimes
374,76,2,12,Research article,Drosophila CPEB Orb2A Mediates Memory Independent of Its RNA-Binding Domain
375,76,2,13,Research article,Transsynaptic Signaling by Activity-Dependent Cleavage of Neuroligin-1
376,76,2,14,Research article,Activity-Dependent Proteolytic Cleavage of Neuroligin-1
377,76,2,15,Research article,Slow Cortical Dynamics and the Accumulation of Information over Long Timescales
378,76,2,16,Research article,Discrete Neocortical Dynamics Predict Behavioral Categorization of Sounds
379,76,2,17,Research article,Opposing Mechanisms Support the Voluntary Forgetting of Unwanted Memories
380,76,2,18,Erratum,Propagation of Tau Pathology in a Model of Early Alzheimer’s Disease
381,76,2,19,Erratum,Dual-Mode Modulation of Smad Signaling by Smad-Interacting Protein Sip1 Is Required for Myelination in the Central Nervous System
382,76,3,0,Mini review,Flip-Flopping to the Membrane
383,76,3,1,Mini review,Charting a Course toward an Understanding of Schizophrenia
384,76,3,2,Mini review,The BOLD Plot Thickens: Sign- and Layer-Dependent Hemodynamic Changes with Activation
385,76,3,3,Review article,The Mysterious Motivational Functions of Mesolimbic Dopamine
386,76,3,4,Review article,"Musical Training as a Framework for Brain Plasticity: Behavior, Function, and Structure"
387,76,3,5,Short communication,"Activity-Mediated AMPA Receptor Remodeling, Driven by Alternative Splicing in the Ligand-Binding Domain"
388,76,3,6,Short communication,Kinetics of Synaptic Vesicle Refilling with Neurotransmitter Glutamate
389,76,3,7,Short communication,Visual Stimulation Reverses the Directional Preference of Direction-Selective Retinal Ganglion Cells
390,76,3,8,Short communication,Decoupling of Sleep-Dependent Cortical and Hippocampal Interactions in a Neurodevelopmental Model of Schizophrenia
391,76,3,9,Research article,Regulation of DLK-1 Kinase Activity by Calcium-Mediated Dissociation from an Inhibitory Isoform
392,76,3,10,Research article,Presynaptically Released Cbln1 Induces Dynamic Axonal Structural Changes by Interacting with GluD2 during Cerebellar Synapse Formation
393,76,3,11,Research article,Zinc Potentiates GluK3 Glutamate Receptor Function by Stabilizing the Ligand Binding Domain Dimer Interface
394,76,3,12,Research article,A Preferentially Segregated Recycling Vesicle Pool of Limited Size Supports Neurotransmission in Native Central Synapses
395,76,3,13,Research article,Correlated Variability in Laminar Cortical Circuits
396,76,3,14,Research article,Sensitivity to Complex Statistical Regularities in Rat Auditory Cortex
397,76,3,15,Research article,Neural Mechanisms of Speed-Accuracy Tradeoff
398,76,3,16,Research article,High-Resolution fMRI Reveals Laminar Differences in Neurovascular Coupling between Positive and Negative BOLD Responses
399,76,3,17,Research article,Reading with Sounds: Sensory Substitution Selectively Activates the Visual Word Form Area in the Blind
400,76,3,18,Research article,The Emergence and Representation of Knowledge about Social and Nonsocial Hierarchies
401,76,3,19,Erratum,Transsynaptic Signaling by Activity-Dependent Cleavage of Neuroligin-1
402,76,3,20,Erratum,Complementary Chimeric Isoforms Reveal Dscam1 Binding Specificity In Vivo
403,76,3,21,Erratum,Slow Cortical Dynamics and the Accumulation of Information over Long Timescales
404,76,4,0,Mini review,Motor Neurons that Multitask
405,76,4,1,Mini review,Glutamate Inputs to the Nucleus Accumbens: Does Source Matter?
406,76,4,2,Mini review,Rules Got Rhythm
407,76,4,3,Review article,"The Future of Memory: Remembering, Imagining, and the Brain"
408,76,4,4,Review article,Canonical Microcircuits for Predictive Coding
409,76,4,5,Short communication,Anterior-Posterior Direction Opponency in the Superficial Mouse Lateral Geniculate Nucleus
410,76,4,6,Research article,The Control of Semaphorin-1a-Mediated Reverse Signaling by Opposing Pebble and RhoGAPp190 Functions in Drosophila
411,76,4,7,Research article,14-3-3 Proteins Regulate a Cell-Intrinsic Switch from Sonic Hedgehog-Mediated Commissural Axon Attraction to Repulsion after Midline Crossing
412,76,4,8,Research article,Proprioceptive Coupling within Motor Neurons Drives C. elegans Forward Locomotion
413,76,4,9,Research article,NGL-2 Regulates Input-Specific Synapse Development in CA1 Pyramidal Neurons
414,76,4,10,Research article,Hippocampal Pyramidal Neurons Comprise Two Distinct Cell Types that Are Countermodulated by Metabotropic Receptors
415,76,4,11,Research article,Synaptic and Behavioral Profile of Multiple Glutamatergic Inputs to the Nucleus Accumbens
416,76,4,12,Research article,Gating of Fear in Prelimbic Cortex by Hippocampal and Amygdala Inputs
417,76,4,13,Research article,NMDA Receptors Control Cue-Outcome Selectivity and Plasticity of Orbitofrontal Firing Patterns during Associative Stimulus-Reward Learning
418,76,4,14,Research article,The Primate Ventral Pallidum Encodes Expected Reward Value and Regulates Motor Action
419,76,4,15,Research article,Synchronous Oscillatory Neural Ensembles for Rules in the Prefrontal Cortex
420,76,4,16,Research article,Rhythmic Fluctuations in Evidence Accumulation during Decision Making in the Human Brain
421,76,5,0,Mini review,Stealth Attack: Plaque-Specific Antibody Allows for Efficient Aβ Removal without Side Effects
422,76,5,1,Mini review,"Neuronal Morphogenesis: Golgi Outposts, Acentrosomal Microtubule Nucleation, and Dendritic Branching"
423,76,5,2,Mini review,Dystroglycan Adds More Sugars to the Midline Cocktail
424,76,5,3,Mini review,Probing the Cochlear Amplifier by Immobilizing Molecular Motors of Sensory Hair Cells
425,76,5,4,Review article,Apolipoprotein E Sets the Stage: Response to Injury Triggers Neuropathology
426,76,5,5,Review article,The Neuropathology and Neurobiology of Traumatic Brain Injury
427,76,5,6,Short communication,Optogenetic Inactivation Modifies Monkey Visuomotor Behavior
428,76,5,7,Research article,A Plaque-Specific Antibody Clears Existing β-amyloid Plaques in Alzheimer's Disease Mice
429,76,5,8,Research article,Golgi Outposts Shape Dendrite Morphology by Functioning as Sites of Acentrosomal Microtubule Nucleation in Neurons
430,76,5,9,Research article,Dystroglycan Organizes Axon Guidance Cue Localization and Axonal Pathfinding
431,76,5,10,Research article,"Molecular Motor KIF5A Is Essential for GABAA Receptor Transport, and KIF5A Deletion Causes Epilepsy"
432,76,5,11,Research article,Dynamic Sensory Representations in the Olfactory Bulb: Modulation by Wakefulness and Experience
433,76,5,12,Research article,Single Neuron Activity and Theta Modulation in Postrhinal Cortex during Visual Object Discrimination
434,76,5,13,Research article,The Spatial Pattern of Cochlear Amplification
435,76,5,14,Research article,Critical Roles for Anterior Insula and Dorsal Striatum in Punishment-Based Avoidance Learning
436,76,5,15,Research article,Electrophysiological Low-Frequency Coherence and Cross-Frequency Coupling Contribute to BOLD Connectivity
437,76,5,16,Research article,"Inactivation of the Parietal Reach Region Causes Optic Ataxia, Impairing Reaches but Not Saccades"
438,76,5,17,Research article,Therapeutic Deep Brain Stimulation in Parkinsonian Rats Directly Influences Motor Cortex
439,76,6,0,Mini review,Stimulating News about Modular Motor Control
440,76,6,1,Mini review,There and Back Again: The Corticobulbar Loop
441,76,6,2,Mini review,The Need for Speed: Eye-Position Signal Dynamics in the Parietal Cortex
442,76,6,3,Mini review,"The Autism Sequencing Consortium: Large-Scale, High-Throughput Sequencing in Autism Spectrum Disorders"
443,76,6,4,Review article,The Role of Medial Prefrontal Cortex in Memory and Decision Making
444,76,6,5,Short communication,Microstimulation Activates a Handful of Muscle Synergies
445,76,6,6,Research article,NMDA Receptor Regulation Prevents Regression of Visual Cortical Function in the Absence of Mecp2
446,76,6,7,Research article,ADF/Cofilin-Mediated Actin Retrograde Flow Directs Neurite Formation in the Developing Brain
447,76,6,8,Research article,Tangentially Migrating Neurons Assemble a Primary Cilium that Promotes Their Reorientation to the Cortical Plate
448,76,6,9,Research article,Genetic Dissection of TAM Receptor-Ligand Interaction in Retinal Pigment Epithelial Cell Phagocytosis
449,76,6,10,Research article,Activity-Dependent Transcriptional Regulation of M-Type (Kv7) K+ Channels by AKAP79/150-Mediated NFAT Actions
450,76,6,11,Research article,Layer-Specific Targeting of Direction-Selective Neurons in the Zebrafish Optic Tectum
451,76,6,12,Research article,Cortical Feedback Control of Olfactory Bulb Circuits
452,76,6,13,Research article,Functional Properties of Cortical Feedback Projections to the Olfactory Bulb
453,76,6,14,Research article,Hilar Mossy Cell Degeneration Causes Transient Dentate Granule Cell Hyperexcitability and Impaired Pattern Separation
454,76,6,15,Research article,The Postsaccadic Unreliability of Gain Fields Renders It Unlikely that the Motor System Can Use Them to Calculate Target Position in Space
455,76,6,16,Research article,A Continuous Semantic Space Describes the Representation of Thousands of Object and Action Categories across the Human Brain
456,76,6,17,Research article,Fractionating Human Intelligence
457,76,6,18,Erratum,Flip-Flopping to the Membrane
458,77,1,0,Mini review,A Sip of GABA for the Cerebral Cortex
459,77,1,1,Mini review,CA3 Mossy Fiber Connections: Giant Synapses that Gain Control
460,77,1,2,Mini review,A Scalar Neural Code for Categories in Parietal Cortex: Representing Cognitive Variables as “More” or “Less”
461,77,1,3,Review article,Microglia: New Roles for the Synaptic Stripper
462,77,1,4,Review article,Shaping Our Minds: Stem and Progenitor Cell Diversity in the Mammalian Neocortex
463,77,1,5,Short communication,Presynaptic Self-Depression at Developing Neocortical Synapses
464,77,1,6,Research article,Nuclear Calcium Signaling in Spinal Neurons Drives a Genomic Program Required for Persistent Inflammatory Pain
465,77,1,7,Research article,Notch Inhibition Induces Cochlear Hair Cell Regeneration and Recovery of Hearing after Acoustic Trauma
466,77,1,8,Research article,Directed Migration of Cortical Interneurons Depends on the Cell-Autonomous Action of Sip1
467,77,1,9,Research article,"Dlx1&2-Dependent Expression of Zfhx1b (Sip1, Zeb2) Regulates the Fate Switch between Cortical and Striatal Interneurons"
468,77,1,10,Research article,Mossy Fiber-CA3 Synapses Mediate Homeostatic Plasticity in Mature Hippocampal Neurons
469,77,1,11,Research article,Distinct Roles of TRP Channels in Auditory Transduction and Amplification in Drosophila
470,77,1,12,Research article,Fast Silencing Reveals a Lost Role for Reciprocal Inhibition in Locomotion
471,77,1,13,Research article,Feedback Inhibition Enables Theta-Nested Gamma Oscillations and Grid Firing Fields
472,77,1,14,Research article,Neocortical Somatostatin-Expressing GABAergic Interneurons Disinhibit the Thalamorecipient Layer 4
473,77,1,15,Research article,Preference Distributions of Primary Motor Cortex Neurons Reflect Control Solutions Optimized for Limb Biomechanics
474,77,1,16,Research article,Biased Associative Representations in Parietal Cortex
475,77,1,17,Research article,Functional Microcircuit Recruited during Retrieval of Object Association Memory in Monkey Perirhinal Cortex
476,77,1,18,Erratum,Parallel Mechanisms Encode Direction in the Retina
477,77,2,0,Mini review,Rare Inherited Variation in Autism: Beginning to See the Forest and a Few Trees
478,77,2,1,Mini review,"Fragile X Syndrome Therapeutics: Translation, Meet Translational Medicine"
479,77,2,2,Mini review,Common Principles of Voltage-Dependent Gating for Hv and Kv Channels
480,77,2,3,Mini review,Volitional Control of Cortical Oscillations and Synchrony
481,77,2,4,Review article,Vulnerable Neural Systems and the Borderland of Brain Aging and Neurodegeneration
482,77,2,5,Short communication,Rare Complete Knockouts in Humans: Population Distribution and Significant Role in Autism Spectrum Disorders
483,77,2,6,Short communication,Lovastatin Corrects Excess Protein Synthesis and Prevents Epileptogenesis in a Mouse Model of Fragile X Syndrome
484,77,2,7,Short communication,Risk-Responsive Orbitofrontal Neurons Track Acquired Salience
485,77,2,8,Research article,Using Whole-Exome Sequencing to Identify Inherited Causes of Autism
486,77,2,9,Research article,Voltage-Sensing Domain of Voltage-Gated Proton Channel Hv1 Shares Mechanism of Block with Pore Domains
487,77,2,10,Research article,Subunit Interactions during Cooperative Opening of Voltage-Gated Proton Channels
488,77,2,11,Research article,Multiple Interactions Control Synaptic Layer Specificity in the Drosophila Visual System
489,77,2,12,Research article,Neurexin Regulates Visual Function via Mediating Retinoid Transport to Promote Rhodopsin Maturation
490,77,2,13,Research article,Synaptic Vesicles Position Complexin to Block Spontaneous Fusion
491,77,2,14,Research article,Social Deprivation Enhances VTA Synaptic Plasticity and Drug-Induced Contextual Learning
492,77,2,15,Research article,New Modules Are Added to Vibrissal Premotor Circuitry with the Emergence of Exploratory Whisking
493,77,2,16,Research article,Inducing Gamma Oscillations and Precise Spike Synchrony by Operant Conditioning via Brain-Machine Interface
494,77,2,17,Erratum,Hippocampal Pyramidal Neurons Comprise Two Distinct Cell Types that Are Countermodulated by Metabotropic Receptors
495,77,3,0,Mini review,Parallel PARKing: Parkinson’s Genes Function in Common Pathway
496,77,3,1,Mini review,In Vitro Human Corticogenesis
497,77,3,2,Mini review,A Spike of Electrodiffusion Reaches Metabotropic Receptors
498,77,3,3,Review article,Rita Levi-Montalcini: In Memoriam
499,77,3,4,Review article,GABAergic Interneurons Shape the Functional Maturation of the Cortex
500,77,3,5,Research article,Probing and Regulating Dysfunctional Circuits Using Deep Brain Stimulation
501,77,3,6,Research article,RAB7L1 Interacts with LRRK2 to Modify Intraneuronal Protein Sorting and Parkinson’s Disease Risk
502,77,3,7,Research article,Pyramidal Neurons Derived from Human Pluripotent Stem Cells Integrate Efficiently into Mouse Brain Circuits In Vivo
503,77,3,8,Research article,Contact Repulsion Controls the Dispersion and Final Distribution of Cajal-Retzius Cells
504,77,3,9,Research article,Pathfinding of Corticothalamic Axons Relies on a Rendezvous with Thalamic Projections
505,77,3,10,Research article,TRAK/Milton Motor-Adaptor Proteins Steer Mitochondrial Trafficking to Axons and Dendrites
506,77,3,11,Research article,Apoptosis Regulates ipRGC Spacing Necessary for Rods and Cones to Drive Circadian Photoentrainment
507,77,3,12,Research article,Synaptic Ribbons Influence the Size and Frequency of Miniature-like Evoked Postsynaptic Currents
508,77,3,13,Research article,Spike-Driven Glutamate Electrodiffusion Triggers Synaptic Potentiation via a Homer-Dependent mGluR-NMDAR Link
509,77,3,14,Research article,LTP Requires a Unique Postsynaptic SNARE Fusion Machinery
510,77,3,15,Research article,Chromatic Coding from Cone-type Unselective Circuits in the Mouse Retina
511,77,3,16,Research article,Two Insulin-like Peptides Antagonistically Regulate Aversive Olfactory Learning in C. elegans
512,77,3,17,Erratum,Individual Variability in Functional Connectivity Architecture of the Human Brain
513,77,4,0,Mini review,RANTing about C9orf72
514,77,4,1,Mini review,Is Instability Good for the Brain?
515,77,4,2,Mini review,Broadening Roles for FMRP: Big News for Big Potassium (BK) Channels
516,77,4,3,Mini review,Prefrontal NMDA Receptors and Cognition: Working 2B Remembered
517,77,4,4,Review article,“Seq-ing” Insights into the Epigenetics of Neuronal Gene Regulation
518,77,4,5,Review article,Visceral Influences on Brain and Behavior
519,77,4,6,Short communication,Unconventional Translation of C9ORF72 GGGGCC Expansion Generates Insoluble Polypeptides Specific to c9FTD/ALS
520,77,4,7,Short communication,mTOR Inhibition Ameliorates Cognitive and Affective Deficits Caused by Disc1 Knockdown in Adult-Born Dentate Granule Neurons
521,77,4,8,Research article,Interaxonal Interaction Defines Tiled Presynaptic Innervation in C. elegans
522,77,4,9,Research article,TRPV1 Channels Are Intrinsically Heat Sensitive and Negatively Regulated by Phosphoinositide Lipids
523,77,4,10,Research article,Spartin Regulates Synaptic Growth and Neuronal Survival by Inhibiting BMP-Mediated Microtubule Stabilization
524,77,4,11,Research article,FMRP Regulates Neurotransmitter Release and Synaptic Information Transmission by Modulating Action Potential Duration via BK Channels
525,77,4,12,Research article,Enhanced Intrinsic Excitability in Basket Cells Maintains Excitatory-Inhibitory Balance in Hippocampal Circuits
526,77,4,13,Research article,A Cholinergic Mechanism for Reward Timing within Primary Visual Cortex
527,77,4,14,Research article,NMDA Receptors Subserve Persistent Neuronal Firing during Working Memory in Dorsolateral Prefrontal Cortex
528,77,4,15,Research article,The Spectrotemporal Filter Mechanism of Auditory Selective Attention
529,77,4,16,Research article,Gamma and the Coordination of Spiking Activity in Early Visual Cortex
530,77,4,17,Research article,Alteration of Visual Perception prior to Microsaccades
531,77,4,18,Research article,Functional Differentiation of Memory Retrieval Network in Macaque Posterior Parietal Cortex
532,77,5,0,Mini review,"When Schwann Cells Conspire with Mitochondria, Neighboring Axons Are under Attack by Glia-Derived Neurotoxic Lipids"
533,77,5,1,Mini review,Illuminating Hippocampal Control of Fear Memory and Anxiety
534,77,5,2,Mini review,"Shaken, Not Stirred: Emergence of Neural Selectivity in a “Cocktail Party”"
535,77,5,3,Review article,Hypothalamic Survival Circuits: Blueprints for Purposive Behaviors
536,77,5,4,Review article,The Unstable Repeats—Three Evolving Faces of Neurological Disease
537,77,5,5,Short communication,"Multiple Mechanisms Switch an Electrically Coupled, Synaptically Inhibited Neuron between Competing Rhythmic Oscillators"
538,77,5,6,Short communication,Anatomical Plasticity of Adult Brain Is Titrated by Nogo Receptor 1
539,77,5,7,Short communication,"Relapse Induced by Cues Predicting Cocaine Depends on Rapid, Transient Synaptic Potentiation"
540,77,5,8,Research article,Oligodendrocyte Dynamics in the Healthy Adult CNS: Evidence for Myelin Remodeling
541,77,5,9,Research article,Aberrant Schwann Cell Lipid Metabolism Linked to Mitochondrial Deficits Leads to Axon Degeneration and Neuropathy
542,77,5,10,Research article,Kv1.1 Channels Act as Mechanical Brake in the Senses of Touch and Pain
543,77,5,11,Research article,Local and Global Contrast Adaptation in Retinal Ganglion Cells
544,77,5,12,Research article,Environmental Novelty Activates β2-Adrenergic Signaling to Prevent the Impairment of Hippocampal LTP by Aβ Oligomers
545,77,5,13,Research article,Kappa Opioid Receptors Regulate Stress-Induced Cocaine Seeking and Synaptic Plasticity
546,77,5,14,Research article,Differential Control of Learning and Anxiety along the Dorsoventral Axis of the Dentate Gyrus
547,77,5,15,Research article,Independent Category and Spatial Encoding in Parietal Cortex
548,77,5,16,Research article,Mechanisms Underlying Selective Neuronal Tracking of Attended Speech at a “Cocktail Party”
549,77,5,17,Erratum,Parametric Functional Maps of Visual Inputs to the Tectum
550,77,5,18,Erratum,A Sip of GABA for the Cerebral Cortex
551,77,5,19,Erratum,RAB7L1 Interacts with LRRK2 to Modify Intraneuronal Protein Sorting and Parkinson’s Disease Risk
552,77,6,0,Mini review,Generating Waves in Corticothalamocortical Networks
553,77,6,1,Mini review,Thalamocortical Synchronization and Cognition: Implications for Schizophrenia?
554,77,6,2,Mini review,Hippocampus: Remembering the Choices
555,77,6,3,Review article,The Theta-Gamma Neural Code
556,77,6,4,Review article,Neuronal Morphology Goes Digital: A Research Hub for Cellular and System Neuroscience
557,77,6,5,Short communication,Regulation of Postsynaptic Retrograde Signaling by Presynaptic Exosome Release
558,77,6,6,Short communication,Activity-Dependent Changes in Extracellular Ca2+ and K+ Reveal Pacemakers in the Spinal Locomotor-Related Network
559,77,6,7,Research article,Etv1 Inactivation Reveals Proprioceptor Subclasses that Reflect the Level of NT3 Expression in Muscle Targets
560,77,6,8,Research article,NLF-1 Delivers a Sodium Leak Channel to Regulate Neuronal Excitability and Modulate Rhythmic Locomotion
561,77,6,9,Research article,Cornichon Proteins Determine the Subunit Composition of Synaptic AMPA Receptors
562,77,6,10,Research article,"Synaptic PI(3,4,5)P3 Is Required for Syntaxin1A Clustering and Neurotransmitter Release"
563,77,6,11,Research article,Developmental Refinement of Vesicle Cycling at Schaffer Collateral Synapses
564,77,6,12,Research article,Odorant Response Properties of Individual Neurons in an Olfactory Glomerular Module
