,vol,issue,index,type,title
63,73,4,7,Short communication,Hierarchical Deployment of Factors Regulating Temporal Fate in a Diverse Neuronal Lineage of the Drosophila Central Brain
64,73,4,8,Research article,Propagation of Tau Pathology in a Model of Early Alzheimer's Disease
65,73,4,9,Research article,A Cascade of Morphogenic Signaling Initiated by the Meninges Controls Corpus Callosum Formation
66,73,4,10,Research article,Dual-Mode Modulation of Smad Signaling by Smad-Interacting Protein Sip1 Is Required for Myelination in the Central Nervous System
67,73,4,11,Research article,A Central Role for the ERK-Signaling Pathway in Controlling Schwann Cell Plasticity and Peripheral Nerve Regeneration In Vivo
68,73,4,12,Research article,Motor Protein KIF1A Is Essential for Hippocampal Synaptogenesis and Learning Enhancement in an Enriched Environment
69,73,4,13,Research article,Encoding of Luminance and Contrast by Linear and Nonlinear Synapses in the Retina
70,73,4,14,Research article,EPAC Null Mutation Impairs Learning and Social Interactions via Aberrant Regulation of miR-124 and Zif268 Translation
71,73,4,15,Research article,Functional Split between Parietal and Entorhinal Cortices in the Rat
72,73,4,16,Research article,Tuned Normalization Explains the Size of Attention Modulations
73,73,4,17,Research article,Sound-Driven Synaptic Inhibition in Primary Visual Cortex
74,73,4,18,Research article,Only Coherent Spiking in Posterior Parietal Cortex Coordinates Looking and Reaching
75,73,4,19,Research article,Computerized Cognitive Training Restores Neural Activity within the Reality Monitoring Network in Schizophrenia
76,73,4,20,Erratum,A Neural Switch for Active and Passive Fear
77,73,5,0,Mini review,Biochemistry to the Rescue: A ClC-2 Auxiliary Subunit Provides a Tangible Link to Leukodystrophy
78,73,5,1,Mini review,How Do Neurons Sense a Spike Burst?
79,73,5,2,Mini review,Stop and Be Fair: DLPFC Development Contributes to Social Decision Making
80,73,5,3,Review article,Imaging Calcium in Neurons
81,73,5,4,Review article,Intercellular (Mis)communication in Neurodegenerative Disease
82,73,5,5,Short communication,FLRT Proteins Are Endogenous Latrophilin Ligands and Regulate Excitatory Synapse Development
83,73,5,6,Research article,A Radial Glia-Specific Role of RhoA in Double Cortex Formation
84,73,5,7,Research article,CYSL-1 Interacts with the O2-Sensing Hydroxylase EGL-9 to Promote H2S-Modulated Hypoxia-Induced Behavioral Plasticity in C. elegans
85,73,5,8,Research article,Dopaminergic Modulation of Sucrose Acceptance Behavior in Drosophila
86,73,5,9,Research article,"GlialCAM, a Protein Defective in a Leukodystrophy, Serves as a ClC-2 Cl− Channel Auxiliary Subunit"
87,73,5,10,Research article,Repeated Stress Causes Cognitive Impairment by Suppressing Glutamate Receptor Expression and Function in Prefrontal Cortex
88,73,5,11,Research article,Methamphetamine-Evoked Depression of GABAB Receptor Signaling in GABA Neurons of the VTA
89,73,5,12,Research article,Distinct Neuronal Coding Schemes in Memory Revealed by Selective Erasure of Fast Synchronous Synaptic Transmission
90,73,5,13,Research article,Linking the Computational Structure of Variance Adaptation to Biophysical Mechanisms
91,73,5,14,Research article,The Generation of Direction Selectivity in the Auditory System
92,73,5,15,Research article,Deafening Drives Cell-Type-Specific Changes to Dendritic Spines in a Sensorimotor Nucleus Important to Learned Vocalizations
93,73,5,16,Research article,Impulse Control and Underlying Functions of the Left DLPFC Mediate Age-Related and Age-Independent Individual Differences in Strategic Social Behavior
94,73,5,17,Erratum,Rethinking the Emotional Brain
95,73,6,0,Mini review,Transcriptional Profiling of Layers of the Primate Cerebral Cortex
96,73,6,1,Mini review,"Sonic Hedgehog, BOC, and Synaptic Development: New Players for an Old Game"
97,73,6,2,Mini review,Human Structural Plasticity at Record Speed
98,73,6,3,Mini review,Disintegrating Brain Networks: from Syndromes to Molecular Nexopathies
99,73,6,4,Mini review,Simons Variation in Individuals Project (Simons VIP): A Genetics-First Approach to Studying Autism Spectrum and Related Neurodevelopmental Disorders
100,73,6,5,Review article,"Growth Cone Travel in Space and Time: the Cellular Ensemble of Cytoskeleton, Adhesion, and Membrane"
101,73,6,6,Research article,Transcriptional Architecture of the Primate Neocortex
102,73,6,7,Short communication,Neuroprotection from Stroke in the Absence of MHCI or PirB
103,73,6,8,Short communication,Differential Motion Dynamics of Synaptic Vesicles Undergoing Spontaneous and Activity-Evoked Endocytosis
104,73,6,9,Research article,Sonic Hedgehog Expression in Corticofugal Projection Neurons Directs Cortical Microcircuit Formation
105,73,6,10,Research article,Chemical Genetic Identification of NDR1/2 Kinase Substrates AAK1 and Rabin8 Uncovers Their Roles in Dendrite Arborization and Spine Development
106,73,6,11,Research article,The X-Linked Intellectual Disability Protein TSPAN7 Regulates Excitatory Synapse Development and AMPAR Trafficking
107,73,6,12,Research article,Thin Dendrites of Cerebellar Interneurons Confer Sublinear Synaptic Integration and a Gradient of Short-Term Plasticity
108,73,6,13,Research article,GABA Neurons of the VTA Drive Conditioned Place Aversion
109,73,6,14,Research article,Activation of VTA GABA Neurons Disrupts Reward Consumption
110,73,6,15,Research article,Learning in the Fast Lane: New Insights into Neuroplasticity
111,73,6,16,Research article,A Network Diffusion Model of Disease Progression in Dementia
112,73,6,17,Research article,Predicting Regional Neurodegeneration from the Healthy Brain Functional Connectome
113,73,6,18,Research article,Human Areas V3A and V6 Compensate for Self-Induced Planar Visual Motion
114,74,1,0,Mini review,Fragile X Syndrome Therapeutics S(C)TEP through the Developmental Window
115,74,1,1,Mini review,Axonally Translated SMADs Link Up BDNF and Retrograde BMP Signaling
116,74,1,2,Mini review,Cysteine String Protein α: A New Role in Vesicle Recycling
117,74,1,3,Mini review,Familiarity Breeds Plasticity: Distinct Effects of Experience on Putative Excitatory and Inhibitory Neurons in Inferior Temporal Cortex
118,74,1,4,Review article,Toward a Unified Theory of Visual Area V4
119,74,1,5,Review article,"Not Noisy, Just Wrong: The Role of Suboptimal Inference in Behavioral Variability"
120,74,1,6,Short communication,Somatic Activation of AKT3 Causes Hemispheric Developmental Brain Malformations
121,74,1,7,Short communication,Chronic Pharmacological mGlu5 Inhibition Corrects Fragile X in Adult Mice
122,74,1,8,Short communication,Hub GABA Neurons Mediate Gamma-Frequency Oscillations at Ictal-like Event Onset in the Immature Hippocampus
123,74,1,9,Research article,Intralineage Directional Notch Signaling Regulates Self-Renewal and Differentiation of Asymmetrically Dividing Radial Glia
124,74,1,10,Research article,Sox9 and NFIA Coordinate a Transcriptional Regulatory Cascade during the Initiation of Gliogenesis
125,74,1,11,Research article,Intra-axonal Translation of SMAD1/5/8 Mediates Retrograde Regulation of Trigeminal Ganglia Subtype Specification
126,74,1,12,Research article,14-3-3ε Couples Protein Kinase A to Semaphorin Signaling and Silences Plexin RasGAP-Mediated Axonal Repulsion
127,74,1,13,Research article,Calcium-Dependent Dephosphorylation of the Histone Chaperone DAXX Regulates H3.3 Loading and Transcription upon Neuronal Activation
128,74,1,14,Research article,Identification of CSPα Clients Reveals a Role in Dynamin 1 Regulation
129,74,1,15,Research article,Motorneurons Require Cysteine String Protein-α to Maintain the Readily Releasable Vesicular Pool and Synaptic Vesicle Recycling
130,74,1,16,Research article,TOR Is Required for the Retrograde Regulation of Synaptic Homeostasis at the Drosophila Neuromuscular Junction
131,74,1,17,Research article,Calcium-Activated Chloride Channels (CaCCs) Regulate Action Potential and Synaptic Response in Hippocampal Neurons
132,74,1,18,Research article,Effects of Long-Term Visual Experience on Responses of Distinct Classes of Single Units in Inferior Temporal Cortex
133,74,1,19,Erratum,New Rabies Virus Variants for Monitoring and Manipulating Activity and Gene Expression in Defined Neural Circuits
134,74,1,20,Erratum,Homeostasis of Eye Growth and the Question of Myopia
135,74,2,0,Mini review,Crucial First Steps: The Transcriptional Control of Neuron Delamination
136,74,2,1,Mini review,"The CAP-Gly of p150: One Domain, Two Diseases, and a Function at the End"
137,74,2,2,Mini review,Synapses Let Loose for a Change: Inhibitory Synapse Pruning throughout Experience-Dependent Cortical Plasticity
138,74,2,3,Mini review,A Taste of What to Expect: Top-Down Modulation of Neural Coding in Rodent Gustatory Cortex
139,74,2,4,Mini review,Neuroscience in the Public Sphere
140,74,2,5,Review article,"On the Perception of Probable Things: Neural Substrates of Associative Memory, Imagery, and Perception"
141,74,2,6,Review article,Timing to Perfection: The Biology of Central and Peripheral Circadian Clocks
142,74,2,7,Short communication,Complementary Chimeric Isoforms Reveal Dscam1 Binding Specificity In Vivo
143,74,2,8,Short communication,γ-Protocadherins Control Cortical Dendrite Arborization by Regulating the Activity of a FAK/PKC/MARCKS Signaling Pathway
144,74,2,9,Short communication,Regulation of Presynaptic Neurotransmission by Macroautophagy
145,74,2,10,Research article,De Novo Gene Disruptions in Children on the Autistic Spectrum
146,74,2,11,Research article,Mutant PrP Suppresses Glutamatergic Neurotransmission in Cerebellar Granule Neurons by Impairing Membrane Delivery of VGCC α2δ-1 Subunit
147,74,2,12,Research article,Foxp-Mediated Suppression of N-Cadherin Regulates Neuroepithelial Character and Progenitor Maintenance in the CNS
148,74,2,13,Research article,Dynactin Is Required for Transport Initiation from the Distal Axon
149,74,2,14,Research article,The p150Glued CAP-Gly Domain Regulates Initiation of Retrograde Transport at Synaptic Termini
150,74,2,15,Research article,Clustered Dynamics of Inhibitory Synapses and Dendritic Spines in the Adult Neocortex
151,74,2,16,Research article,Elimination of Inhibitory Synapses Is a Major Component of Adult Ocular Dominance Plasticity
152,74,2,17,Research article,GABAergic Inhibition Regulates Developmental Synapse Elimination in the Cerebellum
153,74,2,18,Research article,Distinct Cortical Circuit Mechanisms for Complex Forelimb Movement and Motor Map Topography
154,74,2,19,Research article,Effects of Cue-Triggered Expectation on Cortical Processing of Taste
155,74,3,0,Mini review,Will Studies of Macaque Insula Reveal the Neural Mechanisms of Self-Awareness?
156,74,3,1,Mini review,2B or Not 2B: A Tail of Two NMDA Receptor Subunits
157,74,3,2,Mini review,Face Selectivity Properties of Monkey Temporal Cortical Neurons Predicted by Computer Vision
158,74,3,3,Review article,A-to-I RNA Editing: Effects on Proteins Key to Neural Excitability
159,74,3,4,Review article,Harnessing the Power of the Endosome to Regulate Neural Development
160,74,3,5,Research article,The Local Transcriptome in the Synaptic Neuropil Revealed by Deep Sequencing and High-Resolution Imaging
161,74,3,6,Short communication,Reduction of Hippocampal Hyperactivity Improves Cognition in Amnestic Mild Cognitive Impairment
162,74,3,7,Short communication,"Input to the Lateral Habenula from the Basal Ganglia Is Excitatory, Aversive, and Suppressed by Serotonin"
163,74,3,8,Short communication,Von Economo Neurons in the Anterior Insula of the Macaque Monkey
164,74,3,9,Research article,Calcium and cAMP Levels Interact to Determine Attraction versus Repulsion in Axon Guidance
